Date,Temp Max,Temp Min,Temp Avg,Temp Dep,HDD,CDD,Precip,New Snow,Snow Depth
1/1/2019,43,34,38.5,-6.9,26,0,0,0,0
1/2/2019,35,32,33.5,-11.9,31,0,0.7,0,0
1/3/2019,40,34,37,-8.4,28,0,0.43,0,0
1/4/2019,59,37,48,2.6,17,0,0,0,0
1/5/2019,70,34,52,6.6,13,0,0,0,0
1/6/2019,68,44,56,10.6,9,0,0,0,0
1/7/2019,74,52,63,17.6,2,0,0,0,0
1/8/2019,66,47,56.5,11,8,0,0,0,0
1/9/2019,59,41,50,4.5,15,0,0,0,0
1/10/2019,51,40,45.5,0,19,0,0,0,0
1/11/2019,54,44,49,3.4,16,0,0.4,0,0
1/12/2019,55,41,48,2.4,17,0,0.02,0,0
1/13/2019,41,36,38.5,-7.1,26,0,0,0,0
1/14/2019,45,35,40,-5.7,25,0,0,0,0
1/15/2019,50,36,43,-2.7,22,0,0,0,0
1/16/2019,64,42,53,7.2,12,0,0,0,0
1/17/2019,58,41,49.5,3.7,15,0,0,0,0
1/18/2019,69,40,54.5,8.6,10,0,0.01,0,0
1/19/2019,61,30,45.5,-0.5,19,0,0,T,0
1/20/2019,47,25,36,-10,29,0,0,0,0
1/21/2019,59,35,47,0.9,18,0,0,0,0
1/22/2019,61,37,49,2.8,16,0,0.02,T,0
1/23/2019,48,27,37.5,-8.8,27,0,0,0,0
1/24/2019,58,28,43,-3.4,22,0,0,0,0
1/25/2019,52,27,39.5,-7,25,0,0,0,0
1/26/2019,57,32,44.5,-2.1,20,0,0,0,0
1/27/2019,62,32,47,0.3,18,0,0,0,0
1/28/2019,61,38,49.5,2.7,15,0,0,0,0
1/29/2019,47,28,37.5,-9.4,27,0,0,0,0
1/30/2019,51,33,42,-5,23,0,0,0,0
1/31/2019,55,39,47,-0.1,18,0,0,0,0
2/1/2019,62,52,57,9.7,8,0,0.03,0,0
2/2/2019,66,53,59.5,12.1,5,0,0,0,0
2/3/2019,72,60,66,18.4,0,1,0,0,0
2/4/2019,80,58,69,21.3,0,4,0,0,0
2/5/2019,78,60,69,21.1,0,4,0,0,0
2/6/2019,77,68,72.5,24.5,0,8,0,0,0
2/7/2019,71,29,50,1.8,15,0,0.24,0,0
2/8/2019,36,23,29.5,-18.9,35,0,0,0,0
2/9/2019,39,34,36.5,-12.1,28,0,0.11,0,0
2/10/2019,44,35,39.5,-9.3,25,0,0.1,0,0
2/11/2019,59,44,51.5,2.5,13,0,0.34,0,0
2/12/2019,57,39,48,-1.2,17,0,0,0,0
2/13/2019,62,35,48.5,-0.9,16,0,0,0,0
2/14/2019,78,50,64,14.4,1,0,0,0,0
2/15/2019,73,36,54.5,4.7,10,0,0,0,0
2/16/2019,42,33,37.5,-12.6,27,0,0.01,0,0
2/17/2019,53,38,45.5,-4.8,19,0,0,0,0
2/18/2019,43,32,37.5,-13,27,0,0,0,0
2/19/2019,39,35,37,-13.8,28,0,0.35,0,0
2/20/2019,58,37,47.5,-3.5,17,0,0,0,0
2/21/2019,52,39,45.5,-5.8,19,0,0.01,0,0
2/22/2019,49,45,47,-4.5,18,0,0.08,0,0
2/23/2019,69,47,58,6.2,7,0,0.01,0,0
2/24/2019,59,36,47.5,-4.6,17,0,0,0,0
2/25/2019,65,37,51,-1.3,14,0,0,0,0
2/26/2019,64,48,56,3.4,9,0,0,0,0
2/27/2019,62,31,46.5,-6.4,18,0,0.01,0,0
2/28/2019,37,29,33,-20.2,32,0,0,0,0
